time,roll,pitch,altitude,vibration_z,label
16.776,0.041271666046098,0.0050134849487556,2.029803090096034,-0.0001148866103999,SAFE
16.784,0.0412716356183958,0.0050124017069068,2.029795386719657,-0.0001135267972251,SAFE
16.792,0.0412715938522675,0.0050111298251343,2.0297855357380814,-0.0001121371266551,SAFE
16.8,0.041271544875761,0.0050096918993069,2.0297735482358505,-0.0001107171949517,SAFE
16.808,0.0412714926037151,0.0050081111659002,2.0297594353038013,-0.0001092692211497,SAFE
16.816,0.0412714405352794,0.0050064112319112,2.029743208054396,-0.0001077976093468,SAFE
16.824,0.0412713916071212,0.0050046158026664,2.029724877638309,-0.0001063079922661,SAFE
16.832,0.0412713481060533,0.0050027484336759,2.029704455258181,-0.000104807035839,SAFE
16.84,0.0412713116329878,0.0050008322880866,2.029681952182767,-0.0001033016059289,SAFE
16.848,0.0412712831169449,0.0049988899175474,2.029657379758833,-0.0001017985653286,SAFE
16.856,0.04127126286627,0.0049969430478137,2.029630749424062,-0.0001003039825058,SAFE
16.864,0.0412712506515516,0.0049950123943478,2.029602072716925,-9.882319576867696e-05,SAFE
16.872,0.0412712458049565,0.0049931174962322,2.0295713612854134,-9.736049568710764e-05,SAFE
16.88,0.0412712473352658,0.004991276561828,2.029538626896277,-9.591888548259689e-05,SAFE
16.888,0.0412712540394388,0.0049895063457082,2.029503881441015,-9.4500228837305e-05,SAFE
16.896,0.0412712646135089,0.004987822041565,2.029467136941724,-9.31052561262599e-05,SAFE
16.904,0.0412712777476078,0.0049862372022083,2.0294284055545044,-9.173373529549592e-05,SAFE
16.912,0.0412712922109071,0.0049847636710846,2.0293876995735363,-9.038447111953994e-05,SAFE
16.92,0.0412713069132539,0.0049834115438993,2.029345031432126,-8.90556305644237e-05,SAFE
16.928,0.0412713209514181,0.0049821891518246,2.0293004137024826,-8.774505612209813e-05,SAFE
16.936,0.0412713336344047,0.0049811030531647,2.029253859096185,-8.645009818589885e-05,SAFE
16.944,0.0412713444931572,0.0049801580563246,2.0292053804614443,-8.516819122180965e-05,SAFE
16.952,0.0412713532725106,0.0049793572524072,2.029154990780579,-8.389673061718455e-05,SAFE
16.96,0.0412713599133847,0.004978702072105,2.029102703165243,-8.263348407510535e-05,SAFE
16.968,0.0412713645238409,0.0049781923451829,2.029048530852823,-8.137629642719666e-05,SAFE
16.976,0.041271367346124,0.0049778263849564,2.028992487200139,-8.012351973188587e-05,SAFE
16.984,0.0412713687172245,0.0049776010833973,2.0289345856764744,-7.887392941433995e-05,SAFE
16.992,0.0412713690344428,0.0049775120078515,2.028874839857745,-7.762659289082409e-05,SAFE
17.0,0.0412713687177004,0.0049775535166657,2.028813263418148,-7.638101283963467e-05,SAFE
17.008,0.0412713681805787,0.0049777188764538,2.0287498701225344,-7.51370345411558e-05,SAFE
17.016000000000002,0.0412713678020151,0.0049780003904034,2.0286846738172906,-7.389484408790398e-05,SAFE
17.024,0.0412713679094379,0.0049783895206156,2.0286176884229303,-7.265474367079243e-05,SAFE
17.032,0.0412713687629843,0.0049788770218836,2.0285489279247666,-7.141722306188729e-05,SAFE
17.04,0.0412713705496312,0.0049794530774853,2.0284784063634778,-7.018300979526738e-05,SAFE
17.048000000000002,0.0412713733808994,0.0049801074232284,2.028406137827576,-6.895264612826729e-05,SAFE
17.056,0.041271377297279,0.0049808294821962,2.0283321364439,-6.772683235831153e-05,SAFE
